field,year,papers,repos,questions,papers_growth,papers_z,papers_burst,repos_growth,repos_z,repos_burst,questions_growth,questions_z,questions_burst,csi,csi_slope,graph_degree,graph_aa_max,graph_conductance_max,target
ComputerSystemsEngineering,2016,527061,1388,31596,0.10498443347275077,-1.209693328448811,0.0,1.1755485893416928,-1.2411823030465277,0.0,-0.03317013463892293,1.20285023337687,1.0,0.04994623079217814,0.04994623079217814,4.0,2.164042561333445,1.1622776830213057,0
ComputerSystemsEngineering,2017,580647,4035,28917,0.10166944623108143,-1.0628885442831972,0.0,1.9070605187319885,-0.6913480601393078,0.0,-0.08478921382453475,0.9300692818479043,1.0,0.20378453449341652,0.15383830370123838,4.0,2.164042561333445,1.1622776830213057,0
ComputerSystemsEngineering,2018,690248,4866,24191,0.18875668004829094,-0.762624461326167,0.0,0.2059479553903345,-0.5187329275908001,0.0,-0.1634332745443856,0.44885883879979227,0.0,0.20516579823046108,0.001381263737044558,4.0,2.164042561333445,1.1622776830213057,1
ComputerSystemsEngineering,2019,794219,5126,21676,0.15062846976738786,-0.47778438715599175,0.0,0.05343197698314839,-0.4647257862398832,0.0,-0.10396428423793969,0.19277668385565314,0.0,0.2101084984176706,0.00494270018720952,4.0,2.164042561333445,1.1622776830213057,1
ComputerSystemsEngineering,2020,961696,7350,24584,0.21087004969662027,-0.018962589714412302,0.0,0.43386656262192735,-0.002757007915116688,0.0,0.13415759365196522,0.48887485744513887,0.0,0.49474890773347124,0.28464040931580065,4.0,2.164042561333445,1.1622776830213057,0
ComputerSystemsEngineering,2021,1068427,8327,19804,0.1109820566998303,0.27343881025535793,0.0,0.13292517006802718,0.20018521169967507,0.0,-0.19443540514155544,0.0021660301556815625,0.0,0.5043887018515483,0.009639794118077027,4.0,2.164042561333445,1.1622776830213057,0
ComputerSystemsEngineering,2022,1190629,9767,16503,0.11437561948546793,0.6082247288648142,0.0,0.17293142788519278,0.49930168687398435,0.0,-0.16668349828317508,-0.3339481620791508,0.0,0.5843918062677012,0.08000310441615288,4.0,2.164042561333445,1.1622776830213057,0
ComputerSystemsEngineering,2023,1486037,9963,10126,0.24811087248840735,1.417527675171603,1.0,0.02006757448551233,0.5400147626615986,0.0,-0.38641459128643274,-0.9832666122098765,0.0,0.5756927955758595,-0.008699010691841647,4.0,2.164042561333445,1.1622776830213057,1
ComputerSystemsEngineering,2024,1430436,10989,5833,-0.037415622894988454,1.2652025752501257,1.0,0.102981029810298,0.7531352512232939,1.0,-0.42395812759233653,-1.4203881593968306,0.0,0.5376272201513775,-0.03806557542448197,4.0,2.164042561333445,1.1622776830213057,0
ComputerSystemsEngineering,2025,1448409,18547,1700,0.012564700552838426,1.3144416001037922,1.0,0.6877786877786878,2.323081306339564,1.0,-0.7085547745585462,-1.841218197720539,0.0,1.0,0.46237277984862246,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2015,588762,183,3182,,-1.1845616058850883,0.0,,-1.4887188779700713,0.0,,1.4157747834741827,1.0,0.020356980631538405,,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2016,655346,424,2908,0.11309153783702075,-1.0746976807265698,0.0,1.3169398907103824,-1.409749097565504,0.0,-0.08610936517913259,1.1179769471010104,1.0,0.0,-0.020356980631538405,4.0,2.164042561333445,1.1622776830213057,1
